date,model,input_tokens,output_tokens,cost_usd,duration_sec,source,note
2026-02-22,claude-sonnet-4-5-20250929,704,304,0.0067,79.9,bot,
2026-02-22,claude-sonnet-4-5-20250929,1017,304,0.0076,79.7,bot,
2026-02-22,claude-opus-4-6,800000,50000,15.7500,0,claude-code,초기세팅+파이프라인+Actions
2026-02-22,claude-opus-4-6,300000,20000,6.0000,0,claude-code,답장로직수정+GitHub커밋수집추가
2026-02-28,claude-opus-4-6,2225,611,0.0792,318.8,bot,
2026-03-01,claude-opus-4-6,1776,540,0.0671,335.8,bot,
2026-03-02,claude-opus-4-6,2267,555,0.0756,333.6,bot,
2026-03-03,claude-opus-4-6,1516,376,0.0509,52.0,bot,
2026-03-04,claude-opus-4-6,2845,417,0.0739,333.4,bot,
2026-03-06,claude-opus-4-6,597,301,0.0315,316.6,bot,
2026-03-06,claude-opus-4-6,1432,614,0.0675,27.3,bot,
2026-03-07,claude-opus-4-6,1271,337,0.0443,323.1,bot,
2026-03-08,claude-opus-4-6,1862,416,0.0591,336.7,bot,
2026-03-09,claude-opus-4-6,1054,403,0.0460,27.2,bot,
2026-03-10,claude-opus-4-6,1471,460,0.0566,325.3,bot,
2026-03-11,claude-opus-4-6,1448,488,0.0583,321.6,bot,
2026-03-12,claude-opus-4-6,1470,469,0.0572,324.4,bot,
2026-03-13,claude-opus-4-6,867,422,0.0447,22.3,bot,
2026-03-14,claude-opus-4-6,1037,396,0.0453,24.6,bot,
2026-03-15,claude-opus-4-6,5694,396,0.1151,358.0,bot,
2026-03-16,claude-opus-4-6,1436,390,0.0508,324.2,bot,
2026-03-17,claude-opus-4-6,1185,502,0.0554,27.0,bot,
2026-03-18,claude-opus-4-6,1614,508,0.0623,327.0,bot,
2026-03-19,claude-opus-4-6,1555,420,0.0548,341.2,bot,
2026-03-20,claude-opus-4-6,1404,604,0.0664,322.2,bot,
2026-03-21,claude-opus-4-6,1102,396,0.0462,30.6,bot,
2026-03-22,claude-opus-4-6,1592,392,0.0533,324.7,bot,
2026-03-23,claude-opus-4-6,1434,428,0.0536,322.8,bot,
2026-03-24,claude-opus-4-6,1631,435,0.0571,338.6,bot,
2026-03-25,claude-opus-4-6,1159,407,0.0479,28.6,bot,
2026-03-26,claude-opus-4-6,1548,440,0.0562,324.3,bot,
2026-03-28,claude-opus-4-6,1065,329,0.0406,324.1,bot,
2026-03-29,claude-opus-4-6,1929,561,0.0710,325.7,bot,
2026-03-30,claude-opus-4-6,1325,409,0.0505,322.4,bot,
2026-03-31,claude-opus-4-6,1754,517,0.0651,325.2,bot,
2026-04-01,claude-opus-4-6,1798,434,0.0595,30.6,bot,
2026-04-02,claude-opus-4-6,1736,651,0.0749,327.5,bot,
2026-04-03,claude-opus-4-6,1896,625,0.0753,329.5,bot,
2026-04-04,claude-opus-4-6,1189,388,0.0469,320.3,bot,
2026-04-05,claude-opus-4-6,1349,550,0.0615,325.1,bot,
2026-04-06,claude-opus-4-6,1221,431,0.0506,323.9,bot,
2026-04-07,claude-opus-4-6,1661,422,0.0566,319.4,bot,
2026-04-08,claude-opus-4-6,1072,338,0.0414,323.8,bot,
2026-04-09,claude-opus-4-6,1508,357,0.0494,321.4,bot,
2026-04-10,claude-opus-4-6,1134,383,0.0457,320.9,bot,
2026-04-11,claude-opus-4-6,1569,451,0.0574,318.4,bot,
2026-04-12,claude-opus-4-6,1104,427,0.0486,319.7,bot,
2026-04-13,claude-opus-4-6,1242,390,0.0479,317.5,bot,
2026-04-14,claude-opus-4-6,1269,361,0.0461,317.2,bot,
2026-04-15,claude-opus-4-6,1498,404,0.0528,319.5,bot,
2026-04-16,claude-opus-4-6,1326,409,0.0506,317.3,bot,
2026-04-17,claude-opus-4-6,1633,538,0.0648,342.6,bot,
2026-04-18,claude-opus-4-6,1550,522,0.0624,318.3,bot,
2026-04-19,claude-opus-4-6,1413,425,0.0531,319.2,bot,
2026-04-20,claude-opus-4-6,1570,594,0.0681,319.0,bot,
2026-04-21,claude-opus-4-6,1453,564,0.0641,318.6,bot,
2026-04-22,claude-opus-4-6,1468,422,0.0537,317.8,bot,
2026-04-23,claude-opus-4-6,1352,421,0.0519,319.3,bot,
2026-04-24,claude-opus-4-6,1846,618,0.0740,323.7,bot,
